itemid,description,itemparent
cmpreq,Requisiciones de compra,\0
cmpreq.consolidados,Requisiciones consolidadas,cmpreq
TD21,Nueva requisición consolidada,cmpreq.consolidados
TD22,Editar requisición consolidada,cmpreq.consolidados
cmpreq.requisiciones,Requisiciones,cmpreq
TD10,Requisiciones,cmpreq.requisiciones
TD11,Nueva requisición,cmpreq.requisiciones
TD12,Editar requisición,cmpreq.requisiciones
TD13,Aprobar requisición,cmpreq.requisiciones
TD14,Aquirir,cmpreq.requisiciones
TD15,Cancelar requisición,cmpreq.requisiciones
TD16,Desaprobar requisición,cmpreq.requisiciones
TD17,Recibir cotización,cmpreq.requisiciones
TD18,Remover cotización,cmpreq.requisiciones
TD19,Comparar precios,cmpreq.requisiciones
TD1A,Generar pedidos,cmpreq.requisiciones
TD1B,Aprovisionar,cmpreq.requisiciones
TD1C,Surtir,cmpreq.requisiciones
cmpreq.solicitudes,Solicitudes de cotización,cmpreq
TD31,Crear solicitud de cotización,cmpreq.solicitudes
TD32,Editar solicitud de cotización,cmpreq.solicitudes
TD33,Cancelar solicitud de cotización,cmpreq.solicitudes
TD40,Ver mensajes de requisiciones,cmpreq.requisiciones
TD41,Publicar mensajes de requisiciones,cmpreq.requisiciones
cmpreq.unialm,Almacenes de unidades organizacionales,cmpreq
TD50,Unidades-Almacenes,cmpreq.unialm
TD51,Vincular almacen a unidad organizacional,cmpreq.unialm
TD52,Editar almacén vinculado a unidad organizacional,cmpreq.unialm
TD53,Eliminar almacén vinculado a unidad organizacional,cmpreq.unialm
